primary_employer_name,alias_name,alias_type,usage_count
NYSARC INC ROCKLAND COUNTY CHAPTER,THE ARC ROCKLAND,TRADE_NAME_DBA,41
"ENGINEERING TECHNOLOGY ASSOCIATES, INC","ETA, INC",TRADE_NAME_DBA,40
"NYSARC, INC ESSEX COUNTY CHAPTER",MOUNTAIN LAKES SERVICES,TRADE_NAME_DBA,40
RESEARCH FOUNDATION OF SUNY AT BUFFALO,UB RESEARCH FOUNDATION,TRADE_NAME_DBA,39
THE SCRIPPS RESEARCH INSTITUTE,SCRIPPS RESEARCH,TRADE_NAME_DBA,38
ADVENTIST HEALTH SYSTEM SUNBELT HEALTHCARE CORP,ADVENTHEALTH INFORMATION TECHNOLOGY,TRADE_NAME_DBA,38
"ACENTRA HEALTH, LLC","FKA CLIENT NETWORK SERVICES, LLC DBA CNSI",TRADE_NAME_DBA,38
"GUARDIAN HEALTHCARE PROVIDERS, INC",EPIC INTERNATIONAL STAFFING,TRADE_NAME_DBA,38
BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA,UNIVERSITY OF NEBRASKA MEDICAL CENTER,TRADE_NAME_DBA,38
"WABTEC US RAIL, INC",WABTEC CORPORATION,TRADE_NAME_DBA,37
LINCOLN NATIONAL CORPORATION,LINCOLN FINANCIAL GROUP,TRADE_NAME_DBA,37
ITG TECHNOLOGIES INC,N / A,TRADE_NAME_DBA,36
FIDELITY WORKPLACE INVESTING LLC D/B/A FIDELITY INVESTMENTS,FIDELITY INVESTMENTS,TRADE_NAME_DBA,36
"HF MANAGEMENT SERVICES, LLC",HEALTHFIRST,TRADE_NAME_DBA,35
ABBOTT DIABETES CARE INC,(AN ABBOTT LABORATORIES COMPANY),TRADE_NAME_DBA,35
GURU CONSULTING SERVICES LLC,GURUSCHOOLS LLC,TRADE_NAME_DBA,35
HADIAMONDSTAR SOFTWARE SOLUTIONS LLC,N / A,TRADE_NAME_DBA,34
ALSAC/ST. JUDE CHILDREN'S RESEARCH HOSPITAL,ALSAC,TRADE_NAME_DBA,33
"FANATICS RETAIL GROUP FULFILLMENT, LLC",FANATICS,TRADE_NAME_DBA,33
"INSTITUTIONAL CAPITAL NETWORK, INC",ICAPITAL,TRADE_NAME_DBA,33
"UNICORN TECHNOLOGIES,LLC",N / A,TRADE_NAME_DBA,33
MYTHRI CONSULTING LLC,AXXEL TECHNOLOGIES,TRADE_NAME_DBA,33
"CBS INTERACTIVE, INC",PARAMOUNT,TRADE_NAME_DBA,32
"DATAFORMIX TECHNOLOGIES,INC",NOT APPLICABLE,TRADE_NAME_DBA,32
EBSCO PUBLISHING,EBSCO INFORMATION SERVICES,TRADE_NAME_DBA,32
SATURN TECH LLC,SAANVI TECHNOLOGIES,TRADE_NAME_DBA,32
"FAYETTE PHYSICIAN NETWORK, INC",WVUHS MEDICAL GROUP,TRADE_NAME_DBA,32
ARCUS TECHNOLOGIES,KATTECH SYSTEMS INC,TRADE_NAME_DBA,32
YERRALPHA LLC,SMD TECHNOSOL,TRADE_NAME_DBA,32
TAKEO TECH LLC,TAKEO,TRADE_NAME_DBA,32
GBT US LLC,AMERICAN EXPRESS GLOBAL BUSINESS TRAVEL,TRADE_NAME_DBA,31
"FITCH RATINGS, INC",FITCH RATINGS,TRADE_NAME_DBA,31
"DAKO RESOURCES, LLC",THE DAKO GROUP,TRADE_NAME_DBA,31
UNION PACIFIC RAILROAD COMPANY,UNION PACIFIC RAILROAD,TRADE_NAME_DBA,31
EDU INFOTECH INTERNATIONAL RESOURCES INC,EITIR,TRADE_NAME_DBA,31
ERP WIZ INC,DIGITAL SAVANTS,TRADE_NAME_DBA,31
IM PRO MAKEUP NY LP,ODDITY,TRADE_NAME_DBA,31
CALSOFT LABS INC,ACL DIGITAL,TRADE_NAME_DBA,31
OMD USA LLC,ANNALECT GROUP,TRADE_NAME_DBA,31
NATIONAL CHARITABLE SERVICES LLC D/B/A FIDELITY INVESTMENTS,FIDELITY INVESTMENTS,TRADE_NAME_DBA,31
LOUISIANA CHILDREN'S MEDICAL CENTER,LCMC HEALTH,TRADE_NAME_DBA,31
EXZAC,MATRIX-IFS,TRADE_NAME_DBA,30
MISSION ACHIEVEMENT AND SUCCESS CHARTER SCHOOL,MAS CHARTER SCHOOL,TRADE_NAME_DBA,30
ALEGENT CREIGHTON CLINIC,CHI HEALTH CLINIC,TRADE_NAME_DBA,30
ANALYTICS9 SOLUTIONS INC,AI9 SOLUTIONS INC,TRADE_NAME_DBA,30
"UNIVERSITY PHYSICIANS & SURGEONS, INC",MARSHALL HEALTH,TRADE_NAME_DBA,30
HAVIX GROUP INC,AAVIS PHARMACEUTICALS,TRADE_NAME_DBA,30
UNIFIED SCHOOL DISTRICT 457,GARDEN CITY PUBLIC SCHOOLS,TRADE_NAME_DBA,30
FIDELITY MANAGEMENT & RESEARCH COMPANY LLC D/B/A FIDELITY INVESTMENTS,FIDELITY INVESTMENTS,TRADE_NAME_DBA,30
COGNIER INC,N / A,TRADE_NAME_DBA,30
THE REINALT-THOMAS CORPORATION,DISCOUNT TIRE / AMERICA'S TIRE,TRADE_NAME_DBA,29
MARUTHI TECHNOLOGIES INC,ANBLICKS,TRADE_NAME_DBA,29
"SMART ENERGY SYSTEMS, INC",SMART ENERGY WATER,TRADE_NAME_DBA,29
"PHYSICAL THERAPY OF THE CITY, PC",PT OF THE CITY,TRADE_NAME_DBA,29
"VIDANT MEDICAL GROUP, LLC",ECU HEALTH PHYSICIANS,TRADE_NAME_DBA,29
QUANTUM TECHNOLOGIES LLC,QUANTUM ROBOTICS LLC,TRADE_NAME_DBA,29
"SOUTH SOUND INPATIENT PHYSICIANS, PLLC",SOUND PHYSICIANS OF WASHINGTON,TRADE_NAME_DBA,29
IU HEALTH CARE ASSOCIATES,DBA IU HEALTH MEDICAL GROUP,TRADE_NAME_DBA,28
"LEGEND BIOTECH USA, INC",LEGEND BIOTECH CORPORATION,TRADE_NAME_DBA,28
AANVI CLOUD TECHNOLOGIES INC,N / A,TRADE_NAME_DBA,28
